0.00	-0.62	0.00	653097.00	
0.00	-0.62	0.00	653209.00	
0.00	-0.62	0.00	653320.00	
0.00	-0.62	0.00	653431.00	
0.00	-0.62	0.00	653542.00	
0.00	-0.62	0.00	653652.00	
0.00	-0.62	0.00	653764.00	
0.00	-0.62	0.00	653875.00	
0.00	-0.62	0.00	653986.00	
0.00	-0.62	0.00	654097.00	
0.00	-0.62	0.00	654208.00	
0.00	-0.62	0.00	654319.00	
0.00	-0.62	0.00	654430.00	
0.00	-0.62	0.00	654541.00	
0.00	-0.62	0.00	654652.00	
0.00	-0.62	0.00	654764.00	
0.00	-0.62	0.00	654874.00	
0.00	-0.62	0.00	654985.00	
0.00	-0.62	0.00	655096.00	
0.00	-0.62	0.00	655207.00	
0.00	-0.62	0.00	655319.00	
0.00	-0.62	0.00	655429.00	
0.00	-0.62	0.00	655541.00	
0.00	-0.62	0.00	655651.00	
0.00	-0.62	0.00	655762.00	
0.00	-0.62	0.00	655874.00	
0.00	-0.62	0.00	655984.00	
0.00	-0.62	0.00	656095.00	
0.00	-0.62	0.00	656206.00	
0.00	-0.62	0.00	656317.00	
0.00	-0.62	0.00	656428.00	
0.00	-0.62	0.00	656539.00	
0.00	-0.62	0.00	656650.00	
0.00	-0.62	0.00	656760.00	
0.00	-0.62	0.00	656871.00	
0.00	-0.62	0.00	656983.00	
0.00	-0.62	0.00	657093.00	
0.00	-0.62	0.00	657204.00	
0.00	-0.62	0.00	657315.00	
0.00	-0.62	0.00	657426.00	
0.00	-0.62	0.00	657537.00	
0.00	-0.62	0.00	657648.00	
0.00	-0.62	0.00	657759.00	
0.00	-0.62	0.00	657870.00	
0.00	-0.62	0.00	657981.00	
0.00	-0.62	0.00	658092.00	
0.00	-0.62	0.00	658203.00	
0.00	-0.62	0.00	658314.00	
0.00	-0.62	0.00	658424.00	
0.00	-0.62	0.00	658536.00	
0.00	-0.62	0.00	658647.00	
0.00	-0.62	0.00	658757.00	
0.00	-0.62	0.00	658869.00	
0.00	-0.62	0.00	658979.00	
0.00	-0.62	0.00	659090.00	
0.00	-0.62	0.00	659202.00	
0.00	-0.62	0.00	659312.00	
0.00	-0.62	0.00	659424.00	
0.00	-0.62	0.00	659534.00	
0.00	-0.62	0.00	659645.00	
0.00	-0.62	0.00	659757.00	
0.00	-0.62	0.00	659867.00	
0.00	-0.62	0.00	659978.00	
0.00	-0.62	0.00	660089.00	
0.00	-0.62	0.00	660200.00	
0.00	-0.62	0.00	660311.00	
0.00	-0.62	0.00	660422.00	
0.00	-0.62	0.00	660533.00	
0.00	-0.62	0.00	660644.00	
0.00	-0.62	0.00	660755.00	
0.00	-0.62	0.00	660866.00	
0.00	-0.62	0.00	660977.00	
0.00	-0.62	0.00	661088.00	
0.00	-0.62	0.00	661198.00	
0.00	-0.62	0.00	661310.00	
0.00	-0.62	0.00	661421.00	
0.00	-0.62	0.00	661531.00	
0.00	-0.62	0.00	661643.00	
0.00	-0.62	0.00	661753.00	
0.00	-0.62	0.00	661865.00	
0.00	-0.62	0.00	661976.00	
0.00	-0.62	0.00	662086.00	
0.00	-0.62	0.00	662198.00	
0.00	-0.62	0.00	662308.00	
0.00	-0.62	0.00	662420.00	
0.00	-0.62	0.00	662531.00	
0.00	-0.62	0.00	662641.00	
0.00	-0.62	0.00	662753.00	
0.00	-0.62	0.00	662863.00	
0.00	-0.62	0.00	662974.00	
0.00	-0.62	0.00	663086.00	
0.00	-0.62	0.00	663196.00	
0.00	-0.62	0.00	663308.00	
0.00	-0.62	0.00	663418.00	
0.00	-0.62	0.00	663529.00	
0.00	-0.62	0.00	663641.00	
0.00	-0.62	0.00	663751.00	
0.00	-0.62	0.00	663862.00	
0.00	-0.62	0.00	663973.00	
0.00	-0.62	0.00	664084.00	
0.00	-0.62	0.00	664196.00	
0.00	-0.62	0.00	664306.00	
0.00	-0.62	0.00	664417.00	
0.00	-0.62	0.00	664528.00	
0.00	-0.62	0.00	664639.00	
0.00	-0.62	0.00	664751.00	
0.00	-0.62	0.00	664861.00	
0.00	-0.62	0.00	664972.00	
0.00	-0.62	0.00	665083.00	
0.00	-0.62	0.00	665194.00	
0.00	-0.62	0.00	665305.00	
0.00	-0.62	0.00	665416.00	
0.00	-0.62	0.00	665527.00	
0.00	-0.62	0.00	665638.00	
0.00	-0.62	0.00	665749.00	
0.00	-0.62	0.00	665860.00	
0.00	-0.62	0.00	665971.00	
0.00	-0.62	0.00	666082.00	
0.00	-0.62	0.00	666192.00	
0.00	-0.62	0.00	666304.00	
0.00	-0.62	0.00	666415.00	
0.00	-0.62	0.00	666525.00	
0.00	-0.62	0.00	666637.00	
0.00	-0.62	0.00	666747.00	
0.00	-0.62	0.00	666858.00	
0.00	-0.62	0.00	666970.00	
0.00	-0.62	0.00	667080.00	
0.00	-0.66	-0.00	667198.00	
0.00	-0.66	-0.00	667314.00	
0.00	-0.70	-0.00	667428.00	
0.00	-0.75	-0.11	667547.00	
0.00	-0.75	-0.11	667663.00	
0.00	-0.75	-0.11	667778.00	
0.00	-0.75	-0.11	667893.00	
0.00	-0.75	-0.11	668009.00	
0.00	-0.75	-0.11	668125.00	
0.00	-0.75	-0.11	668239.00	
0.00	-0.75	-0.11	668355.00	
0.00	-0.75	-0.11	668470.00	
0.00	-0.75	-0.11	668584.00	
0.00	-0.70	0.02	668702.00	
0.00	-0.70	0.02	668816.00	
0.00	-0.70	0.02	668930.00	
0.00	-0.70	0.02	669043.00	
0.00	-0.70	0.02	669157.00	
0.00	-0.70	0.02	669271.00	
