0	0	467	4.35	36854	
1	0.73	468	4.61	36856	
0	0	469	4.87	36859	
1	0.73	469	4.87	36861	
1	0.73	469	4.87	36864	
1	0.73	469	4.87	36867	
2	1.45	469	4.87	36870	
6	4.35	469	4.87	36873	
16	11.54	469	4.87	36876	
16	11.54	470	5.12	36879	
17	12.26	469	4.87	36882	
20	14.4	470	5.12	36885	
21	15.12	468	4.61	36888	
27	19.39	469	4.87	36891	
37	26.47	470	5.12	36895	
37	26.47	470	5.12	36898	
37	26.47	469	4.87	36901	
38	27.18	469	4.87	36904	
39	27.88	470	5.12	36908	
44	31.39	470	5.12	36911	
42	29.99	469	4.87	36914	
45	32.09	469	4.87	36917	
46	32.8	470	5.12	36921	
49	34.89	469	4.87	36924	
49	34.89	470	5.12	36927	
49	34.89	468	4.61	36930	
47	33.5	469	4.87	36934	
42	29.99	469	4.87	36937	
42	29.99	471	5.38	36940	
45	32.09	470	5.12	36943	
49	34.89	470	5.12	36947	
53	37.69	470	5.12	36950	
52	36.99	470	5.12	36953	
55	39.08	471	5.38	36956	
52	36.99	469	4.87	36960	
50	35.59	469	4.87	36963	
49	34.89	470	5.12	36966	
50	35.59	470	5.12	36969	
50	35.59	471	5.38	36973	
53	37.69	470	5.12	36976	
53	37.69	469	4.87	36979	
52	36.99	471	5.38	36982	
50	35.59	470	5.12	36986	
47	33.5	471	5.38	36989	
48	34.19	471	5.38	36992	
47	33.5	470	5.12	36995	
48	34.19	471	5.38	36998	
52	36.99	471	5.38	37001	
59	41.86	472	5.64	37005	
61	43.24	471	5.38	37008	
66	46.7	471	5.38	37011	
70	49.46	471	5.38	37014	
70	49.46	470	5.12	37018	
70	49.46	471	5.38	37021	
75	52.9	472	5.64	37024	
76	53.58	472	5.64	37027	
77	54.27	471	5.38	37031	
75	52.9	471	5.38	37034	
76	53.58	472	5.64	37037	
76	53.58	470	5.12	37040	
78	54.95	471	5.38	37044	
75	52.9	472	5.64	37047	
76	53.58	471	5.38	37050	
78	54.95	471	5.38	37053	
77	54.27	471	5.38	37056	
77	54.27	471	5.38	37060	
78	54.95	471	5.38	37063	
77	54.27	471	5.38	37066	
77	54.27	472	5.64	37070	
75	52.9	471	5.38	37073	
74	52.21	471	5.38	37076	
74	52.21	473	5.89	37079	
72	50.84	471	5.38	37082	
75	52.9	472	5.64	37086	
76	53.58	473	5.89	37089	
75	52.9	472	5.64	37092	
77	54.27	471	5.38	37095	
78	54.95	472	5.64	37099	
78	54.95	473	5.89	37102	
77	54.27	473	5.89	37105	
79	55.64	473	5.89	37108	
81	57.01	472	5.64	37111	
83	58.37	472	5.64	37115	
82	57.69	473	5.89	37118	
82	57.69	473	5.89	37121	
82	57.69	473	5.89	37125	
82	57.69	473	5.89	37128	
81	57.01	473	5.89	37131	
80	56.32	473	5.89	37134	
81	57.01	472	5.64	37137	
80	56.32	474	6.15	37141	
81	57.01	474	6.15	37144	
81	57.01	473	5.89	37147	
80	56.32	474	6.15	37151	
78	54.95	473	5.89	37154	
79	55.64	474	6.15	37157	
78	54.95	476	6.66	37160	
79	55.64	474	6.15	37164	
75	52.9	474	6.15	37167	
76	53.58	474	6.15	37170	
76	53.58	475	6.41	37173	
73	51.52	476	6.66	37177	
72	50.84	475	6.41	37180	
76	53.58	475	6.41	37183	
72	50.84	476	6.66	37186	
66	46.7	475	6.41	37189	
67	47.39	476	6.66	37193	
68	48.08	476	6.66	37196	
68	48.08	476	6.66	37199	
61	43.24	475	6.41	37202	
60	42.55	475	6.41	37206	
62	43.94	475	6.41	37209	
65	46.01	476	6.66	37212	
66	46.7	476	6.66	37215	
66	46.7	476	6.66	37219	
57	40.47	475	6.41	37222	
57	40.47	476	6.66	37225	
43	30.69	476	6.66	37228	
46	32.8	476	6.66	37232	
46	32.8	476	6.66	37235	
50	35.59	476	6.66	37238	
58	41.16	477	6.92	37241	
55	39.08	477	6.92	37244	
56	39.77	478	7.17	37248	
67	47.39	478	7.17	37251	
74	52.21	477	6.92	37254	
76	53.58	476	6.66	37257	
72	50.84	476	6.66	37261	
65	46.01	476	6.66	37264	
70	49.46	475	6.41	37267	
74	52.21	476	6.66	37270	
76	53.58	477	6.92	37274	
76	53.58	478	7.17	37277	
74	52.21	478	7.17	37280	
76	53.58	479	7.43	37283	
78	54.95	476	6.66	37286	
77	54.27	480	7.69	37290	
76	53.58	479	7.43	37293	
79	55.64	479	7.43	37296	
82	57.69	480	7.69	37299	
84	59.05	480	7.69	37302	
79	55.64	479	7.43	37306	
83	58.37	479	7.43	37309	
83	58.37	479	7.43	37312	
83	58.37	480	7.69	37315	
82	57.69	480	7.69	37319	
85	59.74	478	7.17	37322	
86	60.42	480	7.69	37325	
84	59.05	479	7.43	37328	
80	56.32	480	7.69	37332	
76	53.58	480	7.69	37335	
81	57.01	480	7.69	37338	
73	51.52	480	7.69	37341	
72	50.84	478	7.17	37344	
81	57.01	479	7.43	37348	
77	54.27	480	7.69	37351	
74	52.21	481	7.94	37354	
68	48.08	479	7.43	37357	
71	50.15	480	7.69	37361	
67	47.39	480	7.69	37364	
71	50.15	481	7.94	37367	
68	48.08	481	7.94	37370	
67	47.39	481	7.94	37374	
69	48.77	480	7.69	37377	
66	46.7	480	7.69	37380	
61	43.24	480	7.69	37383	
62	43.94	481	7.94	37387	
64	45.32	480	7.69	37390	
64	45.32	480	7.69	37393	
66	46.7	481	7.94	37396	
68	48.08	480	7.69	37399	
68	48.08	482	8.2	37402	
73	51.52	482	8.2	37406	
82	57.69	481	7.94	37409	
86	60.42	482	8.2	37412	
