0	2	40117	
0	2	40129	
0	3	40142	
0	3	40155	
0	3	40167	
0	3	40179	
0	4	40192	
0	6	40205	
0	7	40217	
0	7	40229	
166	7	40243	
250	7	40257	
328	7	40271	
402	7	40287	
451	7	40301	
464	7	40315	
477	7	40330	
473	7	40344	
474	8	40359	
481	8	40374	
504	9	40388	
515	11	40403	
523	11	40420	
528	9	40434	
540	9	40449	
569	9	40463	
598	6	40477	
619	9	40493	
630	10	40508	
638	9	40522	
651	10	40538	
652	11	40554	
651	12	40569	
654	12	40585	
650	13	40600	
619	13	40616	
629	14	40632	
635	15	40647	
635	14	40663	
635	13	40678	
635	11	40694	
631	10	40710	
631	10	40725	
636	10	40740	
639	10	40757	
641	9	40771	
645	9	40785	
641	9	40800	
642	9	40815	
636	9	40829	
636	9	40844	
637	8	40858	
645	7	40872	
637	7	40888	
637	7	40902	
636	8	40916	
622	7	40931	
612	7	40945	
600	7	40961	
603	7	40975	
595	7	40989	
592	7	41004	
580	8	41019	
555	8	41033	
493	8	41048	
410	8	41062	
348	9	41076	
343	9	41092	
269	8	41106	
211	8	41120	
156	8	41135	
91	6	41149	
61	5	41162	
44	8	41176	
0	1	41189	
0	1	41202
